2025_02_28_google_gemini-flash-1.5_air_prompt,count
lidmašīn,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
